result_id,race_id,racer_id,position,lap_time_best,lap_time_average,total_time,points_earned,dnf,laps
1,2,1,1,58.284,,20:13.128,10,False,21
2,2,2,2,59.586,,20:22.063,8,False,21
3,2,3,3,59.999,,20:35.447,6,False,21
4,2,4,4,1:00.130,,20:55.648,4,False,21
5,2,5,5,1:00.822,,20:57.874,2,False,21
6,2,6,6,01:01.264,,20:58.357,0,False,21
7,2,7,7,01:01.043,,21:59.223,0,False,21
8,2,8,8,01:01.238,,20:13.829,0,False,20
9,2,9,9,01:01.585,,20:16.966,0,False,20
10,2,10,10,01:01.520,,20:17.230,0,False,20
11,2,11,11,01:00.369,,20:17.412,0,False,20
12,2,12,12,01:01.513,,20:39.501,0,False,20
13,2,13,13,01:02.002,,20:39.756,0,False,20
14,2,14,14,01:02.088,,20:47.256,0,False,20
15,2,15,15,01:02.788,,20:57.650,0,False,20
16,2,16,16,01:02.914,,21:07.999,0,False,19
17,2,17,17,01:00.450,,20:15.094,0,False,18
18,2,18,18,01:04.909,,21:10.033,0,False,17
